FY,Department,Division,Month,Category,Category_Group,Perm_Budget,Current_Budget,Expenditure,Balance,Date,Fiscal_Month,Month_Name
FY24,Central Services,Central Services,a/o 6/30/24,Univ. Salaries,Salaries,442165.8,482165.8,470987.61,11178.190000000002,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,Fringes,Fringes,145784,161664,186297.86000000002,-24633.860000000015,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,Printing,Supplies & Printing,0,0,42.33,-42.33,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,Training/Travel,Training & Travel,3257,3257,3663.92,-406.9200000000001,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,Supplies/Postage,Supplies & Printing,6000,6000,756.3100000000001,5243.69,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,Telecomm,Telecomm & Network,2291,2291,1926.96,364.03999999999996,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 6/30/24,Hardware/Software/RamTech,Software & Maintenance,5061,5061,2691.11,2369.89,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Skilled Services/Internal,Contractual & Services,60629,60629,209512.65,-148883.65,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Tele Wireless/Data,Telecomm & Network,0,0,2805.6,-2805.6,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Travel/Training,Training & Travel,2875,2875,38953.270000000004,-36078.270000000004,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Supplies/Shipping/Printing,Supplies & Printing,4000,4000,4566.83,-566.8299999999999,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Telecomm,Telecomm & Network,0,0,81,-81,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Software Dev. /Maintenance,Software & Maintenance,0,0,45537.22,-45537.22,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Hourly,Salaries,0,0,6910.07,-6910.07,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Hourly Fringe,Salaries,0,0,578.82,-578.82,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,IT/ University Salaries,Salaries,410607,410607,379993.44,30613.559999999998,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Fringes,Fringes,204211,204211,150907.34999999998,53303.65000000002,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Memberships/Publications,Training & Travel,0,0,119991.27,-119991.27,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Travel/Training,Training & Travel,5244,5244,1595,3649,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Printing,Supplies & Printing,0,0,39.71,-39.71,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Supplies/Postage,Supplies & Printing,2510,2510,399.96,2110.04,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Electrical,Other,0,0,5752.66,-5752.66,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,1440,1440,601,839,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Comcast Cable Service,Telecomm & Network,0,0,5150.38,-5150.38,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Building/Office Supplies,Supplies & Printing,17800,17800,11008,6792,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Lease Equipment,Equipment & Hardware,3200,3200,2322.48,877.52,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,University Srvcs,Other,1000,1000,125,875,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Physical Plant/Repair,Other,0,0,6442.13,-6442.13,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Internal Charge,Recoveries & Revenue,0,0,822,-822,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,4000,4000,7345.62,-3345.62,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Hardware Maintenance/Network,Software & Maintenance,131000,131000,8140.64,122859.36,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Contractual,Contractual & Services,0,0,71378.49,-71378.49,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Other,Other,0,0,27037,-27037,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Software Maintenance,Software & Maintenance,2231152.2,3032314.2,2357455.14,346193.5700000003,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Internal charge,Recoveries & Revenue,0,0,-44113.2,44113.2,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Data Supplies/Contractual,Supplies & Printing,0,3852711,923585.8,2929125.2,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Audio Visual,Other,0,0,300599.64,-300599.64,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Software,Software & Maintenance,0,0,2704543.88,-2704543.88,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Hardware/Equipment,Equipment & Hardware,0,490549,164361.1,326187.9,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Internal Charge,Recoveries & Revenue,0,0,250000,-250000,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Data/Network,Telecomm & Network,396410,643041,466086.04,176954.96000000002,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Contractual/ Internal Serv. Charge,Recoveries & Revenue,0,0,-161928.82,161928.82,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Maintenance,Software & Maintenance,-18500,86675,69903.5,16771.5,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Faculty Salary,Salaries,0,0,336,-336,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,IT/Univ Salary,Salaries,154382,154382,251940.09,-97558.09,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Fringes,Fringes,46606,46606,98414.73999999999,-51808.73999999999,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Telecomm Sppt./Internal,Telecomm & Network,-360,-360,1480,-1840,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Supplies/Printing,Supplies & Printing,1200,1200,274.74,925.26,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Travel/Training,Training & Travel,1725,1725,149,1576,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Telecomm,Telecomm & Network,1440,1440,929.38,510.62,2024-06-30,12,Jun
FY24,Technology Services,Central Services,a/o 6/30/24,Equipment/RamTech/Software,Software & Maintenance,2000,2000,540,1460,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Supplies/Maintenance,Software & Maintenance,0,0,146563.04,-146563.04,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Network/Data Supplies,Supplies & Printing,185000,185000,167636.34,17363.660000000003,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Training,Training & Travel,0,0,15560,-15560,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,IT Salaries,Salaries,2210854.8899999997,2210854.8899999997,2146899.1799999997,63955.70999999996,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Hourly,Salaries,54296,54296,4578.37,49717.63,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Hourly Fringe,Salaries,-3616,-3616,368.31,-3984.31,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Classified On Call,Bonus/OT/VSDP,5238.2,5238.2,1294,3944.2,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Bonus,Bonus/OT/VSDP,4000,4000,3150,850,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Fringes,Fringes,771537,771537,842720.51,-71183.51000000001,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Training/Travel,Training & Travel,13625,13625,1377.1899999999998,12247.81,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Supp/Fuel/Postage,Supplies & Printing,9357,9357,877.46,8479.54,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Network/Data Supplies,Supplies & Printing,5000,5000,41.36,4958.64,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Fleet Mgt/Parking,Other,7370,7370,5385.19,1984.8100000000004,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Telecomm/Wireless,Telecomm & Network,23052,23052,9204.140000000001,13847.859999999999,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Printing,Supplies & Printing,0,0,122.3,-122.3,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Operating Lease Equipment,Equipment & Hardware,1500,1500,5891.4400000000005,-4391.4400000000005,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Lease/Equipment,Equipment & Hardware,30410,30410,18374.94,12035.060000000001,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Recoveries from Housing,Recoveries & Revenue,-68495,-68495,-38943,-29552,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Recoveries/Labor/Data Install,Recoveries & Revenue,-50000,-50000,-29700,-20300,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Recoveries/Internal,Recoveries & Revenue,-350000,-350000,-333601.5,-16398.5,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Contractual,Contractual & Services,90000,90000,47.2,89952.8,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Network/Data Supplies,Supplies & Printing,1000000,1000000,865519.54,134480.45999999996,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Data Installation,Other,0,0,-608821.89,608821.89,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Equipment,Equipment & Hardware,30000,30000,11081.32,18918.68,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,VCUHS Revenue/Other Sales,Bonus/OT/VSDP,-5000,-5000,-827.43,-4172.57,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Va Tech,Other,0,0,108662,-108662,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Tele Circuits,Telecomm & Network,136066,136066,149506.05999999997,-13440.059999999969,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Skilled Services,Contractual & Services,200000,200000,145526.85,54473.149999999994,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Maintenance,Software & Maintenance,0,0,158575.99,-158575.99,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Other  VCUHS Revenue,Recoveries & Revenue,0,0,-11477.07,11477.07,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Recovery,Recoveries & Revenue,-55600,-55600,-128598.24,72998.24,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Supplies,Supplies & Printing,328847,328847,19881.73,308965.27,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Network/Data Supplies,Supplies & Printing,0,0,6313.09,-6313.09,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Electrical,Other,0,0,7200,-7200,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Data Installation,Other,0,0,90,-90,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Salaries,Salaries,2058606.63,2058606.63,1682975.69,375630.93999999994,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,On Call,Bonus/OT/VSDP,8095.4,8095.4,332,7763.4,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Bonuses,Bonus/OT/VSDP,19000,19000,5900,13100,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Fringes,Fringes,818778,818778,659163.98,159614.02000000002,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,University/Repair maint/Fuel,Software & Maintenance,0,0,1292.71,-1292.71,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Express/Courier Services,Other,14540,14540,20448,-5908,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Supplies,Supplies & Printing,63500,63500,6487.04,57012.96,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Telecomm,Telecomm & Network,12813,12813,13506.23,-693.2299999999996,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Leases/Printing,Supplies & Printing,2445,2445,1792.9899999999998,652.0100000000002,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Training/Travel,Training & Travel,11500,11500,1407.19,10092.81,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,FMD/Parking,Other,2500,2500,319.03,2180.9700000000003,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Hardware Maintenance,Software & Maintenance,0,0,479501.63,-479501.63,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Software Maintenance,Software & Maintenance,233998,233998,713241.45,-479243.44999999995,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Other Equipment,Equipment & Hardware,15000,15000,510,14490,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Recoveries/SLA Fees,Recoveries & Revenue,-126453,-126453,-1010143,883690,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Recoveries/SAN Fees,Recoveries & Revenue,-40000,-40000,-21487.840000000004,-18512.159999999996,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Salaries,Salaries,522775.2,522775.2,533942.5,-11167.299999999988,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,On Call,Bonus/OT/VSDP,7143,7143,192,6951,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Hourly/IT HourlyWages,Salaries,57000,57000,67315.94,-10315.940000000002,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Hourly Fringe,Salaries,1716,1716,5429.39,-3713.3900000000003,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Fringes,Fringes,188183,188183,208190.66999999998,-20007.669999999984,2024-06-30,12,Jun
FY24,Network Services,Network & Infrastructure,a/o 6/30/24,Office/Data Supplies,Supplies & Printing,2013,2013,30,1983,2024-06-30,12,Jun
FY24,Administrative Systems,Application Services,a/o 6/30/24,IT/Univ Salaries,Salaries,1346655.24,1346655.24,1510833.8599999999,-164178.61999999988,2024-06-30,12,Jun
FY24,Administrative Systems,Application Services,a/o 6/30/24,VSDP,Bonus/OT/VSDP,0,0,2501.42,-2501.42,2024-06-30,12,Jun
FY24,Administrative Systems,Application Services,a/o 6/30/24,On Call,Bonus/OT/VSDP,4762,4762,40,4722,2024-06-30,12,Jun
FY24,Administrative Systems,Application Services,a/o 6/30/24,Awards/Bonuses,Bonus/OT/VSDP,10000,10000,6400,3600,2024-06-30,12,Jun
FY24,Administrative Systems,Application Services,a/o 6/30/24,Fringe,Fringes,567197,567197,602725.25,-35528.25,2024-06-30,12,Jun
FY24,Administrative Systems,Application Services,a/o 6/30/24,Technical Services/Consulting,Contractual & Services,7980,7980,17410.5,-9430.5,2024-06-30,12,Jun
FY24,Administrative Systems,Application Services,a/o 6/30/24,Telecomm,Telecomm & Network,5280,5280,3156.86,2123.14,2024-06-30,12,Jun
FY24,Administrative Systems,Application Services,a/o 6/30/24,Other,Other,0,0,430,-430,2024-06-30,12,Jun
FY24,Administrative Systems,Application Services,a/o 6/30/24,Maintenance,Software & Maintenance,701560,701560,924120.53,-222560.53000000003,2024-06-30,12,Jun
FY24,Administrative Systems,Application Services,a/o 6/30/24,Training/Memberships,Training & Travel,7494,7494,5245.75,44.5,2024-06-30,12,Jun
FY24,Administrative Systems,Application Services,a/o 6/30/24,Hardware/Software/RamTech,Software & Maintenance,4810,4810,3630.89,1179.1100000000001,2024-06-30,12,Jun
FY24,Application Services,Application Services,a/o 6/30/24,Classified/IT/Univ. Sal./VSDP,Salaries,1679714,1679714,1458357.49,221356.51,2024-06-30,12,Jun
