FY,Department,Division,Month,Category,Category_Group,Perm_Budget,Current_Budget,Expenditure,Balance,Date,Fiscal_Month,Month_Name
FY24,Central Services,Central Services,a/o 7/31/23,Univ. Salaries,Salaries,437437,437437,39170.26,-30846.119999999995,2023-07-31,1,Jul
FY24,Central Services,Central Services,a/o 8/31/23,Univ. Salaries,Salaries,435625.8,435625.8,78340.52,-32817.32000000001,2023-08-31,2,Aug
FY24,Central Services,Central Services,a/o 9/30/23,Univ. Salaries,Salaries,435625.8,435625.8,137095.91,-33057.32000000001,2023-09-30,3,Sep
FY24,Central Services,Central Services,a/o 10/31/23,Univ. Salaries,Salaries,435625.8,435625.8,156681.04,-33137.32000000001,2023-10-31,4,Oct
FY24,Central Services,Central Services,a/o 11/30/23,Univ. Salaries,Salaries,435625.8,435625.8,195851.3,-33297.32000000001,2023-11-30,5,Nov
FY24,Central Services,Central Services,a/o 12/31/23,Univ. Salaries,Salaries,435625.8,435625.8,235021.56,-38137.79999999999,2023-12-31,6,Dec
FY24,Central Services,Central Services,a/o 1/31/24,Univ. Salaries,Salaries,442165.8,442165.8,274971.9,-31757.800000000047,2024-01-31,7,Jan
FY24,Central Services,Central Services,a/o 2/29/24,Univ. Salaries,Salaries,442165.8,442165.8,314922.24,-39251.080000000016,2024-02-29,8,Feb
FY24,Central Services,Central Services,a/o 3/31/24,Univ. Salaries,Salaries,442165.8,482165.8,374435.08,11578.209999999963,2024-03-31,9,Mar
FY24,Central Services,Central Services,a/o 4/30/24,Univ. Salaries,Salaries,442165.8,482165.8,393745.58,11498.209999999963,2024-04-30,10,Apr
FY24,Central Services,Central Services,a/o 5/31/24,Univ. Salaries,Salaries,442165.8,482165.8,451677.11,11258.190000000002,2024-05-31,11,May
FY24,Central Services,Central Services,a/o 6/30/24,Univ. Salaries,Salaries,442165.8,482165.8,470987.61,11178.190000000002,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 7/31/23,Fringes,Fringes,147543,147543,15643.1,-40174.35686,2023-07-31,1,Jul
FY24,Central Services,Central Services,a/o 8/31/23,Fringes,Fringes,147543,147543,31208.2,-38535.93220000001,2023-08-31,2,Aug
FY24,Central Services,Central Services,a/o 9/30/23,Fringes,Fringes,145784,145784,54438.83,-40294.95237000001,2023-09-30,3,Sep
FY24,Central Services,Central Services,a/o 10/31/23,Fringes,Fringes,145784,145784,62182.38,-40294.96576000002,2023-10-31,4,Oct
FY24,Central Services,Central Services,a/o 11/30/23,Fringes,Fringes,145784,145784,77669.46,-40294.97254000002,2023-11-30,5,Nov
FY24,Central Services,Central Services,a/o 12/31/23,Fringes,Fringes,145784,145784,93156.55,-42153.13988000003,2023-12-31,6,Dec
FY24,Central Services,Central Services,a/o 1/31/24,Fringes,Fringes,145784,145784,108953.3,-42153.124899999995,2024-01-31,7,Jan
FY24,Central Services,Central Services,a/o 2/29/24,Fringes,Fringes,145784,145784,124750.07,-45064.44208000001,2024-02-29,8,Feb
FY24,Central Services,Central Services,a/o 3/31/24,Fringes,Fringes,145784,161664,148125.29,-24633.83647000001,2024-03-31,9,Mar
FY24,Central Services,Central Services,a/o 4/30/24,Fringes,Fringes,145784,161664,155759.81000000003,-24633.84797000003,2024-04-30,10,Apr
FY24,Central Services,Central Services,a/o 5/31/24,Fringes,Fringes,145784,161664,178663.35,-24633.858500000002,2024-05-31,11,May
FY24,Central Services,Central Services,a/o 6/30/24,Fringes,Fringes,145784,161664,186297.86000000002,-24633.860000000015,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 7/31/23,Printing,Supplies & Printing,0,0,2.68,-2.68,2023-07-31,1,Jul
FY24,Central Services,Central Services,a/o 8/31/23,Printing,Supplies & Printing,0,0,11.07,-11.07,2023-08-31,2,Aug
FY24,Central Services,Central Services,a/o 9/30/23,Printing,Supplies & Printing,0,0,13.44,-13.44,2023-09-30,3,Sep
FY24,Central Services,Central Services,a/o 10/31/23,Printing,Supplies & Printing,0,0,16.86,-16.86,2023-10-31,4,Oct
FY24,Central Services,Central Services,a/o 11/30/23,Printing,Supplies & Printing,0,0,19.57,-19.57,2023-11-30,5,Nov
FY24,Central Services,Central Services,a/o 12/31/23,Printing,Supplies & Printing,0,0,22.12,-22.12,2023-12-31,6,Dec
FY24,Central Services,Central Services,a/o 1/31/24,Printing,Supplies & Printing,0,0,25.73,-25.73,2024-01-31,7,Jan
FY24,Central Services,Central Services,a/o 2/29/24,Printing,Supplies & Printing,0,0,28.43,-28.43,2024-02-29,8,Feb
FY24,Central Services,Central Services,a/o 3/31/24,Printing,Supplies & Printing,0,0,32.22,-32.22,2024-03-31,9,Mar
FY24,Central Services,Central Services,a/o 4/30/24,Printing,Supplies & Printing,0,0,34.43,-34.43,2024-04-30,10,Apr
FY24,Central Services,Central Services,a/o 5/31/24,Printing,Supplies & Printing,0,0,37.19,-37.19,2024-05-31,11,May
FY24,Central Services,Central Services,a/o 6/30/24,Printing,Supplies & Printing,0,0,42.33,-42.33,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 7/31/23,Training/Travel,Training & Travel,3257,3257,249,3008,2023-07-31,1,Jul
FY24,Central Services,Central Services,a/o 8/31/23,Training/Travel,Training & Travel,3257,3257,1403.4,1853.6,2023-08-31,2,Aug
FY24,Central Services,Central Services,a/o 9/30/23,Training/Travel,Training & Travel,3257,3257,1403.4,1853.6,2023-09-30,3,Sep
FY24,Central Services,Central Services,a/o 10/31/23,Training/Travel,Training & Travel,3257,3257,1603.4,1653.6,2023-10-31,4,Oct
FY24,Central Services,Central Services,a/o 11/30/23,Training/Travel,Training & Travel,3257,3257,2389.36,867.6399999999999,2023-11-30,5,Nov
FY24,Central Services,Central Services,a/o 12/31/23,Training/Travel,Training & Travel,3257,3257,2389.36,867.6399999999999,2023-12-31,6,Dec
FY24,Central Services,Central Services,a/o 1/31/24,Training/Travel,Training & Travel,3257,3257,3129.36,127.63999999999987,2024-01-31,7,Jan
FY24,Central Services,Central Services,a/o 2/29/24,Training/Travel,Training & Travel,3257,3257,3279.36,-22.360000000000127,2024-02-29,8,Feb
FY24,Central Services,Central Services,a/o 3/31/24,Training/Travel,Training & Travel,3257,3257,3502.9700000000003,-245.97000000000025,2024-03-31,9,Mar
FY24,Central Services,Central Services,a/o 4/30/24,Training/Travel,Training & Travel,3257,3257,3502.9700000000003,-245.97000000000025,2024-04-30,10,Apr
FY24,Central Services,Central Services,a/o 5/31/24,Training/Travel,Training & Travel,3257,3257,3502.9700000000003,-245.97000000000025,2024-05-31,11,May
FY24,Central Services,Central Services,a/o 6/30/24,Training/Travel,Training & Travel,3257,3257,3663.92,-406.9200000000001,2024-06-30,12,Jun
FY24,Central Services,Central Services,a/o 7/31/23,Supplies/Postage,Supplies & Printing,6000,6000,348.53,5651.47,2023-07-31,1,Jul
FY24,Central Services,Central Services,a/o 8/31/23,Supplies/Postage,Supplies & Printing,6000,6000,381.54,5618.46,2023-08-31,2,Aug
FY24,Central Services,Central Services,a/o 9/30/23,Supplies/Postage,Supplies & Printing,6000,6000,381.54,5618.46,2023-09-30,3,Sep
FY24,Central Services,Central Services,a/o 10/31/23,Supplies/Postage,Supplies & Printing,6000,6000,381.54,5618.46,2023-10-31,4,Oct
