Index,Department,FY,Budget,Expenses,Commitments,Difference,As_Of,Utilization_Pct
1-38008,STF,FY27,396410,0,0,396410,2026-08-26,0
1-38102,TS Development,FY27,20961,1207.72,0,19753.28,2026-08-26,5.8
1-38103,CIO,FY27,596626,59967.91,776211.47,-239553.38,2026-08-26,10.1
1-38124,TS Maintenance,FY27,3383886,272816.07,1039809,2071260.9300000002,2026-08-26,8.1
1-38109,TAB Furnishings/Operations,FY27,45540,461.38,1747,43331.62,2026-08-26,1
146029,Planning & Project Mgmt.,FY27,251037,387009.8,0,-135972.8,2026-08-26,154.2
138131,Adobe Creative Cloud,FY27,18500,0,0,18500,2026-08-26,0
1-23099,Network Infrastructure,FY27,183150,50712.77,18697.93,113739.30000000002,2026-08-26,27.7
1-23117,Network Operations,FY27,2626915,252316.28,2717444.81,-342846.08999999985,2026-08-26,9.6
1-23153,Network Tech.,FY27,376661.34,8726.6,290466.52,77468.22000000003,2026-08-26,2.3
1-23154,Network Infra. Upgrade,FY27,325559,0,202428.32,123130.68,2026-08-26,0
1-23131,Network Data,FY27,-50,16530.46,0,-16580.46,2026-08-26,0
1-38104,Admin. Systems,FY27,2849635,216047.17,2261788.62,371799.20999999996,2026-08-26,7.6
1-38105,Admin. BI & Analytics,FY27,-423,0,0,-423,2026-08-26,0
1-23152,Information Security,FY27,2365407,312219.72,1867850.72,185336.56000000006,2026-08-26,13.2
1-38009,Computing Sppt. Serv.,FY27,677615,64945.1,684983.63,-72313.72999999998,2026-08-26,9.6
1-46405,Endpoint Computing,FY27,700851,37273.83,392473.86,271103.31000000006,2026-08-26,5.3
1-23102,UCC,FY27,3281465,193776.19,2427854.8899999997,659833.9200000004,2026-08-26,5.9
1-23155,UCC - NOC,FY27,795181,65382.97,688715.01,41083.02000000002,2026-08-26,8.2
1-38114,Applic. Services,FY27,2786145,283363.15,2070389.0299999998,432392.8200000003,2026-08-26,10.2
1-38116,TS Administration,FY27,1636666.68,102517.48,1384262.46,149886.74,2026-08-26,6.3
1-23116,Media Sppt. Projects,FY27,-25,0,0,-25,2026-08-26,0
1-23118,Media Eng./Design,FY27,757735,90528.45,829235.66,-162029.11,2026-08-26,11.9
1-23157,Instructional Computing Serv.,FY27,349987,60542.29,584843.5800000001,-295398.87000000005,2026-08-26,17.3
1-38002,Classroom Sppt. Serv.,FY27,579573,68028.59,636687.42,-125143.01000000001,2026-08-26,11.7
1-38004,Academic Technologies,FY27,338522,20126.06,220622.63,97773.31,2026-08-26,5.9
1-38005,Learning Systems,FY27,1461218,50808,1042214.0700000001,368195.92999999993,2026-08-26,3.5
1-38013,Video/Teleconference,FY27,225113,25717.23,283072.28,-83676.51000000004,2026-08-26,11.4
1-23151,Emergency Comm.,FY27,134800,0,3310,131490,2026-08-26,0
1-38001,TS Serv. Admin.,FY27,295213,68483.96,227850.48,-1121.4400000000314,2026-08-26,23.2
1-38010,Desktop Services,FY27,1064673,127826.06,1336906.73,-400059.79000000004,2026-08-26,12
1-38011,IT Support Ctr.,FY27,903031,91690.18,564949,246391.82000000007,2026-08-26,10.2
1-38014,IT Serv. Mgmt.,FY27,784921,51109.78,776085.55,-42274.330000000075,2026-08-26,6.5
1-38017,fixIT,FY27,37461,5146.2,153296.23,-120981.43000000001,2026-08-26,13.7
1-23100,Building Access,FY27,421579,258047.18,583058.1,-419526.27999999997,2026-08-26,61.2
1-38110,Campus Card Serv.,FY27,802268,208194.57,734900.91,-140827.4800000001,2026-08-26,26
138130,Canon Student Print,FY27,0,-65.82,0,65.82,2026-08-26,0
